indicatorId,geoUnit,year,type,subtype,value
LR.AG15T99,BHR,2001,Source,Data sources,Source: Population Census
LR.AG15T99,BHR,2022,Data Status,Data reporting,"Literacy definition:
Can you read and write a simple sentence about your daily life with understanding?"
LR.AG15T99,BHR,2022,Source,Data sources,Source: The survey data was used as a main source and validated by numerous documented administrative records from several sources
LR.AG15T99,BHR,2023,Data Status,Data reporting,"Literacy definition:
Can you read and write a simple sentence about your daily life with understanding?"
LR.AG15T99,BHR,2023,Source,Data sources,Source: The survey data was used as a main source and validated by numerous documented administrative records from several sources
LR.AG15T99,BHR,2024,Data Status,Data reporting,"Literacy definition:
Can you read and write a simple sentence about your daily life with understanding?"
LR.AG15T99,BHR,2024,Source,Data sources,Source: The survey data was used as a main source and validated by numerous documented administrative records from several sources
LR.AG15T99,BIH,2000,Data Status,Data reporting,"Literacy definition:
Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper"
LR.AG15T99,BIH,2000,Source,Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
LR.AG15T99,BIH,2013,Data Status,Data reporting,"Literacy definition:
Literate persons are those aged 10 years or older who can read and write a short essay."
LR.AG15T99,BIH,2013,Source,Data sources,Source: Population Census
LR.AG15T99,BLR,2009,Data Status,Data reporting,"Literacy definition:
Question and Answer: I do not have education ----> Can you read and write? ---> Yes / No"
LR.AG15T99,BLR,2009,Source,Data sources,Source: Population Census
LR.AG15T99,BLR,2019,Data Status,Data reporting,"Literacy definition:
Literate is a person who can read and write."
LR.AG15T99,BLR,2019,Source,Data sources,Source: Population Census
LR.AG15T99,BLZ,2000,Data Status,Data reporting,"Literacy definition:
individuals aged 15 years and older who have completed Standard 5 (Grade 7) or a higher level of education are classified as literate. 
Note: While the census did not include direct questions assessing an individuals ability to read"
LR.AG15T99,BLZ,2000,Source,Data sources,Source: Population Census
LR.AG15T99,BLZ,2015,Source,Data sources,Belize MICS 2015-16. A literacy test was administered to men and women aged 15-49 whose highest level of educational attendance was primary schooling or lower. The test consisted of an enumerator administered assessment on the ability of the respondent to read a short and simple sentence. Those who could partially or fully read the sentence are considered literate. Respondents above the educational attainment threshold for whom the test was not administered were imputed as literate. Literacy status was imputed via a statistical model for older age groups not covered by the assessment.
LR.AG15T99,BLZ,2022,Data Status,Data reporting,"Literacy definition:
individuals aged 15 years and older who have completed Standard 5 (Grade 7) or a higher level of education are classified as literate. 
Note: While the census did not include direct questions assessing an individuals ability to read"
LR.AG15T99,BLZ,2022,Source,Data sources,Source: Population Census
LR.AG15T99,BOL,2001,Data Status,Data reporting,"Literacy definition:
If the person responds that he/she knows how to read and to write, he/she is literate and if he/she does not know how to read and to write, he/she is illiterate. The language of the survey was Spanish and native languages in indigenou"
LR.AG15T99,BOL,2001,Source,Data sources,Source: Population Census
LR.AG15T99,BOL,2007,Data Status,Data reporting,"Literacy definition:
Literate persons are those aged 15 years or older who can read and write."
LR.AG15T99,BOL,2007,Source,Data sources,Source: Household Survey
LR.AG15T99,BOL,2008,Data Status,Data reporting,"Literacy definition:
Literate persons are those aged 15 years or older who can read and write."
LR.AG15T99,BOL,2008,Source,Data sources,Source: Household Survey
LR.AG15T99,BOL,2009,Data Status,Data reporting,"Literacy definition:
Literate persons are those aged 15 years or older who can read and write."
LR.AG15T99,BOL,2009,Source,Data sources,Source: Household Survey
LR.AG15T99,BOL,2011,Data Status,Data reporting,"Literacy definition:
Literate persons are those aged 15 years or older who can read and write."
LR.AG15T99,BOL,2011,Source,Data sources,Source: Household Survey
LR.AG15T99,BOL,2012,Data Status,Data reporting,"Literacy definition:
Literate persons are those aged 15 years or older who can read and write."
LR.AG15T99,BOL,2012,Source,Data sources,Source: Household Survey
LR.AG15T99,BOL,2015,Data Status,Data reporting,"Literacy definition:
Literate persons are those aged 15 years or older who can read and write."
LR.AG15T99,BOL,2015,Source,Data sources,Source: Household Survey
LR.AG15T99,BOL,2020,Data Status,Data reporting,"Literacy definition:
Literate persons are those aged 15 years or older who can read and write.
Footnote: Data for some age groups have 20% statistical uncertainy"
LR.AG15T99,BOL,2020,Source,Data sources,Source: Household Survey
LR.AG15T99,BOL,2023,Data Status,Data reporting,"Literacy definition:
Literate persons are those aged 15 years or older who can read and write.
Footnote: Data for some age groups have 20% statistical uncertainy"
LR.AG15T99,BOL,2023,Source,Data sources,Source: Household Survey
LR.AG15T99,BOL,2024,Source,Data sources,"Bolivia Encuesta Continua de Empleo (ECE) 2024 Fourth Quarter. Respondents 10 years of age and above were asked to declare their highest educational attainment, among the options was a category for illiteracy."
LR.AG15T99,BRA,2000,Data Status,Data reporting,"Literacy definition:
Literate persons are able to read and write at least a simple note in the language he or she knows."
LR.AG15T99,BRA,2000,Source,Data sources,Source: Population Census
LR.AG15T99,BRA,2004,Data Status,Data reporting,"Literacy definition:
A person is defined as literate if he or she can both read and write at least a simple statement in a language he or she knows."
LR.AG15T99,BRA,2004,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2006,Data Status,Data reporting,"Literacy definition:
A person is defined as literate if he or she can both read and write at least a simple statement in a language he or she knows."
LR.AG15T99,BRA,2006,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2007,Data Status,Data reporting,"Literacy definition:
A person is defined as literate if he or she can both read and write at least a simple statement in a language he or she knows."
LR.AG15T99,BRA,2007,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2008,Data Status,Data reporting,"Literacy definition:
A person is defined as literate if he or she can both read and write at least a simple statement in a language he or she knows."
LR.AG15T99,BRA,2008,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2009,Data Status,Data reporting,"Literacy definition:
A literate person is regarded as someone who can read and write."
LR.AG15T99,BRA,2009,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2010,Data Status,Data reporting,"Literacy definition:
A literate person is regarded as someone who can read and write."
LR.AG15T99,BRA,2010,Source,Data sources,Source: Population Census
LR.AG15T99,BRA,2011,Data Status,Data reporting,"Literacy definition:
A literate person is regarded as someone who can read and write."
LR.AG15T99,BRA,2011,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2012,Data Status,Data reporting,"Literacy definition:
A literate person is regarded as someone who can read and write."
LR.AG15T99,BRA,2012,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2013,Data Status,Data reporting,"Literacy definition:
A literate person is regarded as someone who can read and write."
LR.AG15T99,BRA,2013,Source,Data sources,Source: Household Survey
