country_code,year,metric_id,value,unit,source_url,source_name,raw_record_id,calculation,notes,sample_size,question_wording,response_mapping
RUS,2017,willingness_to_fight_score,73.8815,score,https://www.worldvaluessurvey.org/,World Values Survey,061b3cd5d26307ac,country_pct_yes,Q151;wvs_wave=7,1654,Would you be willing to fight for your country?,1=yes 2=no; score=percent yes
TUR,2018,attachment_to_country_score,3.2445,score,https://www.worldvaluessurvey.org/,World Values Survey,321bc8527dd3389d,country_inverted_mean,Q257;wvs_wave=7,2384,Feel close to your country,1=very close to 4=not close at all; score=5-mean
TUR,2018,national_pride_score,1.4406,score,https://www.worldvaluessurvey.org/,World Values Survey,3d514df34854014d,country_mean,Q254;wvs_wave=7,2288,How proud are you to be of nationality of this country?,1=very proud to 4=not at all proud; exclude 5=not nationality
TUR,2018,religious_identity_strength,2.7111,score,https://www.worldvaluessurvey.org/,World Values Survey,3b03ea8c2b577e40,country_inverted_mean,Q173;wvs_wave=7,2208,Are you a religious person?,1=religious 2=not religious 3=atheist; score=4-mean
TUR,2018,social_trust_score,14.2616,score,https://www.worldvaluessurvey.org/,World Values Survey,fc22d3a5d98bebf3,country_pct_yes,Q57;wvs_wave=7,2370,"Generally speaking, would you say that most people can be trusted?",1=most people can be trusted 2=need to be very careful; score=percent trusting
TUR,2018,support_for_immigration,2.1149,score,https://www.worldvaluessurvey.org/,World Values Survey,3422cddcdf436ead,country_inverted_mean,Q130;wvs_wave=7,2349,Immigration policy preference for people coming to work,1=let anyone come to 4=prohibit; score=5-mean
TUR,2018,support_for_traditional_values,2.2378,score,https://www.worldvaluessurvey.org/,World Values Survey,7550ac643bb68c44,country_inverted_mean,Q45;wvs_wave=7,2338,Future changes: Greater respect for authority,1=good thing to 3=bad thing; score=4-mean
TUR,2018,trust_courts_score,2.0724,score,https://www.worldvaluessurvey.org/,World Values Survey,2f38fd2ee6a95402,country_mean,Q70;wvs_wave=7,2388,Confidence: Justice System/Courts,1=great deal to 4=none at all
TUR,2018,trust_government_score,2.1364,score,https://www.worldvaluessurvey.org/,World Values Survey,77fe7620ec20426f,country_mean,Q71;wvs_wave=7,2376,Confidence: The Government,1=great deal to 4=none at all
TUR,2018,trust_military_score,1.7042,score,https://www.worldvaluessurvey.org/,World Values Survey,83a04c86034f03b8,country_mean,Q65;wvs_wave=7,2390,Confidence: Armed Forces,1=great deal to 4=none at all
TUR,2018,trust_police_score,1.8152,score,https://www.worldvaluessurvey.org/,World Values Survey,3c0dc8cc46c96722,country_mean,Q69;wvs_wave=7,2397,Confidence: The Police,1=great deal to 4=none at all
TUR,2018,willingness_to_fight_score,79.9306,score,https://www.worldvaluessurvey.org/,World Values Survey,e671cfcb9e9361a1,country_pct_yes,Q151;wvs_wave=7,2307,Would you be willing to fight for your country?,1=yes 2=no; score=percent yes
UKR,2020,attachment_to_country_score,3.1710,score,https://www.worldvaluessurvey.org/,World Values Survey,e70663858510e39a,country_inverted_mean,Q257;wvs_wave=7,1257,Feel close to your country,1=very close to 4=not close at all; score=5-mean
UKR,2020,national_pride_score,1.8166,score,https://www.worldvaluessurvey.org/,World Values Survey,280a766ef4fe8155,country_mean,Q254;wvs_wave=7,1238,How proud are you to be of nationality of this country?,1=very proud to 4=not at all proud; exclude 5=not nationality
UKR,2020,religious_identity_strength,2.5802,score,https://www.worldvaluessurvey.org/,World Values Survey,0d22fd6c7de82a87,country_inverted_mean,Q173;wvs_wave=7,1184,Are you a religious person?,1=religious 2=not religious 3=atheist; score=4-mean
